longitude,latitude
-1.013530599999999948e+00,5.207251589999999908e+01
-1.013487599999999933e+00,5.207252369999999786e+01
-1.013444299999999965e+00,5.207252770000000197e+01
-1.013396399999999975e+00,5.207253070000000150e+01
-1.013353200000000065e+00,5.207253190000000131e+01
-1.013317299999999976e+00,5.207252989999999926e+01
-1.013277500000000053e+00,5.207252379999999903e+01
-1.013232399999999922e+00,5.207251240000000081e+01
-1.013195700000000032e+00,5.207250020000000035e+01
-1.013160099999999897e+00,5.207248570000000143e+01
-1.013125999999999971e+00,5.207246889999999695e+01
-1.013094200000000056e+00,5.207245079999999859e+01
-1.013059900000000013e+00,5.207241659999999683e+01
-1.013035899999999989e+00,5.207237829999999690e+01
-1.012956200000000084e+00,5.207222970000000117e+01
-1.012617600000000007e+00,5.207155110000000064e+01
-1.012606099999999953e+00,5.207153259999999761e+01
-1.012593300000000029e+00,5.207151700000000005e+01
-1.012579899999999977e+00,5.207150299999999987e+01
-1.012564000000000020e+00,5.207148839999999979e+01
-1.012539499999999926e+00,5.207146970000000152e+01
-1.012509600000000010e+00,5.207145049999999742e+01
-1.012479099999999965e+00,5.207143460000000346e+01
-1.012444099999999958e+00,5.207142079999999851e+01
-1.012407899999999916e+00,5.207140840000000281e+01
-1.012372999999999967e+00,5.207139850000000081e+01
-1.012327500000000047e+00,5.207139190000000184e+01
-1.012289900000000076e+00,5.207138859999999880e+01
-1.012256100000000103e+00,5.207138950000000222e+01
-1.012215300000000040e+00,5.207139339999999805e+01
-1.012180999999999997e+00,5.207140069999999810e+01
-1.012138600000000110e+00,5.207141299999999973e+01
-1.012094100000000108e+00,5.207143130000000042e+01
-1.012047799999999942e+00,5.207145760000000223e+01
-1.012011699999999959e+00,5.207148469999999918e+01
-1.011979500000000032e+00,5.207151509999999917e+01
-1.011930400000000008e+00,5.207156870000000026e+01
-1.011900299999999975e+00,5.207160059999999646e+01
-1.011868500000000060e+00,5.207164310000000285e+01
-1.011838699999999980e+00,5.207168630000000320e+01
-1.011799099999999951e+00,5.207174510000000112e+01
-1.011766100000000002e+00,5.207179670000000016e+01
-1.011716099999999896e+00,5.207187350000000237e+01
-1.011665000000000036e+00,5.207196830000000176e+01
-1.011625599999999903e+00,5.207205299999999681e+01
-1.011582999999999899e+00,5.207214799999999855e+01
-1.011543499999999929e+00,5.207224980000000158e+01
-1.011510200000000026e+00,5.207234340000000117e+01
-1.011483600000000038e+00,5.207243900000000281e+01
-1.011462800000000106e+00,5.207254600000000266e+01
-1.011447299999999938e+00,5.207265300000000252e+01
-1.011439900000000058e+00,5.207272369999999739e+01
-1.011437200000000036e+00,5.207278529999999961e+01
-1.011434900000000026e+00,5.207285689999999789e+01
-1.011440200000000011e+00,5.207290890000000161e+01
-1.011453099999999994e+00,5.207296180000000163e+01
-1.011473499999999914e+00,5.207300949999999773e+01
-1.011498199999999903e+00,5.207305209999999818e+01
-1.011526099999999984e+00,5.207308340000000157e+01
-1.011556099999999958e+00,5.207311310000000049e+01
-1.011601200000000089e+00,5.207314449999999795e+01
-1.011747600000000080e+00,5.207323139999999739e+01
-1.011998900000000035e+00,5.207336889999999840e+01
-1.012313599999999925e+00,5.207355749999999972e+01
-1.012600500000000014e+00,5.207371990000000039e+01
-1.012887400000000104e+00,5.207387990000000144e+01
-1.014896500000000090e+00,5.207500790000000279e+01
-1.015880600000000022e+00,5.207555560000000128e+01
-1.016433099999999978e+00,5.207586630000000127e+01
-1.016551800000000005e+00,5.207593229999999807e+01
-1.017533699999999985e+00,5.207647469999999856e+01
-1.018489299999999931e+00,5.207699569999999767e+01
-1.018577999999999983e+00,5.207703639999999723e+01
-1.018645299999999976e+00,5.207706259999999787e+01
-1.018703399999999926e+00,5.207708089999999856e+01
-1.018770200000000070e+00,5.207709940000000159e+01
-1.018841300000000061e+00,5.207711690000000004e+01
-1.018909899999999924e+00,5.207712939999999691e+01
-1.018966800000000061e+00,5.207713909999999657e+01
-1.019016300000000097e+00,5.207714550000000031e+01
-1.019054399999999916e+00,5.207715000000000316e+01
-1.019128999999999952e+00,5.207715439999999774e+01
-1.019203899999999940e+00,5.207715470000000124e+01
-1.019278799999999929e+00,5.207715489999999647e+01
-1.019352899999999895e+00,5.207715170000000171e+01
-1.019427700000000048e+00,5.207714490000000040e+01
-1.019500000000000073e+00,5.207713609999999704e+01
-1.019570499999999935e+00,5.207712260000000271e+01
-1.019641400000000031e+00,5.207710699999999804e+01
-1.019710399999999906e+00,5.207708660000000123e+01
-1.019740899999999950e+00,5.207707700000000273e+01
-1.019798999999999900e+00,5.207705579999999657e+01
-1.019821599999999995e+00,5.207704559999999816e+01
-1.019849800000000029e+00,5.207703109999999924e+01
-1.019872200000000007e+00,5.207701819999999771e+01
-1.019912399999999941e+00,5.207699120000000192e+01
-1.019931700000000108e+00,5.207697689999999824e+01
-1.019956599999999991e+00,5.207695850000000348e+01
-1.019976699999999958e+00,5.207694010000000162e+01
-1.019996899999999984e+00,5.207691830000000266e+01
-1.020014500000000046e+00,5.207689340000000300e+01
-1.020034000000000107e+00,5.207686259999999834e+01
-1.020048099999999902e+00,5.207682859999999891e+01
-1.020054599999999922e+00,5.207679660000000155e+01
-1.020143699999999987e+00,5.207621890000000064e+01
-1.020162800000000036e+00,5.207615069999999946e+01
