front_wing_deg,rear_wing_deg,front_height_m,rear_height_m,package,method,objective,lap_time_s,top_speed_mps,fuel_used_kg,tyre_wear_end,tyre_wear_delta,distance_m,high_speed_corner_mps,braking_distance_m,mean_downforce_n,mean_drag_n,max_tyre_load_n,solver_iterations,shift_loss_s,feasible,constraint_reasons,objective_value,pareto,circuit,seed
13.75,15.0,0.0475,0.07375000000000001,standard,grid,qualifying,49.520236823244026,88.34375541757842,1.47,0.018989542996914046,0.018989542996914046,2940.0,54.35236780438572,275.0,10463.837262713854,2013.2170724420932,8470.779069197099,17,0.64,True,,49.520236823244026,True,Velocity Park,42
19.520774800008862,21.071588013159918,0.041776214822362406,0.05367775441281755,standard,random,qualifying,49.52953194208626,82.54386622492457,1.47,0.020073332543558427,0.020073332543558427,2940.0,58.45034842612222,200.0,11881.5588927528,2712.3065808787555,8421.15158536828,16,0.56,True,,49.52953194208626,False,Velocity Park,42
19.48941084516698,14.015423888347845,0.04381447847709104,0.07068246363084657,standard,differential_evolution,qualifying,49.53481710569174,86.31286615164797,1.47,0.019632958708330487,0.019632958708330487,2940.0,55.58219908270985,250.0,11135.400142074197,2235.996582274244,8254.598769098624,16,0.56,True,,49.53481710569174,False,Velocity Park,42
21.25,15.0,0.0325,0.07375000000000001,standard,grid,qualifying,49.545848135883475,85.03396296643334,1.47,0.019779468847267837,0.019779468847267837,2940.0,56.437390772625804,225.0,11393.405875851498,2393.4723911595283,8132.145837640514,16,0.56,True,,49.545848135883475,False,Velocity Park,42
21.762540886884324,23.11897113763909,0.0392641465973152,0.06655042888864263,standard,differential_evolution,qualifying,49.61843817641255,80.3151924423391,1.47,0.020278214508989187,0.020278214508989187,2940.0,60.015063071623445,200.0,12234.863386811938,2995.730480446015,8351.833502798194,16,0.48,True,,49.61843817641255,False,Velocity Park,42
11.948822580032076,19.514098524518673,0.031807280471526526,0.07014162976071298,standard,random,qualifying,49.658969917497146,86.15335384744048,1.47,0.019541590814424765,0.019541590814424765,2940.0,54.72213747212663,250.0,11093.88718742534,2242.161465878086,8829.933929578228,17,0.56,True,,49.658969917497146,False,Velocity Park,42
22.801046099022493,14.678789717306815,0.026749082250671984,0.052662275140989846,standard,random,qualifying,49.67116765834905,84.45873182195541,1.47,0.019531648051829616,0.019531648051829616,2940.0,56.15584968123585,225.0,11260.853294125773,2455.525870097646,7920.870127444046,16,0.56,True,,49.67116765834905,False,Velocity Park,42
10.462267518519091,18.734347784647248,0.031437540184585874,0.05838378896760863,standard,random,qualifying,49.67272431674373,87.02170531002942,1.47,0.019530576643925917,0.019530576643925917,2940.0,54.30639692116529,275.0,11037.208901747319,2148.2908439778057,8883.701404160023,17,0.64,True,,49.67272431674373,False,Velocity Park,42
20.237432559624633,12.795049672186195,0.030997246074253252,0.040331302138795246,standard,random,qualifying,49.6857626786944,86.61135990298632,1.47,0.01915711203993617,0.01915711203993617,2940.0,54.79222774505615,250.0,10778.953027606567,2202.9282004510674,7794.549970734593,16,0.64,True,,49.6857626786944,False,Velocity Park,42
21.67575245610643,13.892774157039351,0.03900163011181103,0.0419711694604253,standard,random,qualifying,49.68576766995268,85.33982114950574,1.47,0.019472132109855416,0.019472132109855416,2940.0,55.480731630232185,225.0,11100.73659706637,2340.9821992428974,7891.92553577063,16,0.56,True,,49.68576766995268,False,Velocity Park,42
