front_wing_deg,rear_wing_deg,front_height_m,rear_height_m,package,method,objective,lap_time_s,top_speed_mps,fuel_used_kg,tyre_wear_end,tyre_wear_delta,distance_m,high_speed_corner_mps,braking_distance_m,mean_downforce_n,mean_drag_n,max_tyre_load_n,solver_iterations,shift_loss_s,feasible,constraint_reasons,objective_value
15.62434051064092,14.721359549995794,0.029872161578330482,0.05832128435803828,standard,candidate_bank,overtaking,38.24274288199814,88.7949315826899,1.18,0.017010799338525878,0.017010799338525878,2360.0,68.08459076495811,150.0,12093.430337735046,2294.1264085592643,11406.835063872899,16,0.48000000000000004,True,,-88.7949315826899
15.62434051064092,13.987207871158645,0.029872161578330482,0.05832128435803828,standard,candidate_bank,overtaking,38.25607965947461,89.0419076752493,1.18,0.016962144247900716,0.016962144247900716,2360.0,68.08936094732671,175.0,12012.674526437766,2247.6362657377326,11328.807130321673,16,0.48000000000000004,True,,-89.0419076752493
15.62434051064092,15.194247132368426,0.029872161578330482,0.05832128435803828,standard,candidate_bank,overtaking,38.261995612752195,88.56867241071188,1.18,0.017023512817982315,0.017023512817982315,2360.0,67.99264008152859,150.0,12126.94051963114,2321.7106227978106,11449.148154322034,17,0.48000000000000004,True,,-88.56867241071188
17.5,20.0,0.04,0.06,standard,candidate_bank,high_downforce,38.70326666451681,84.24082471010605,1.18,0.01715417162896335,0.01715417162896335,2360.0,66.86541812531077,150.0,12581.039185488213,2715.0352115087094,11273.700457834246,17,0.44000000000000006,True,,-66.86541812531077
15.62434051064092,14.458158019199306,0.029872161578330482,0.05832128435803828,standard,candidate_bank,high_downforce,38.23345855837139,88.91801959122427,1.18,0.017004430629175858,0.017004430629175858,2360.0,68.13116128206084,175.0,12073.898746931443,2279.0046431792257,11391.072347155809,16,0.48000000000000004,True,,-68.13116128206084
15.62434051064092,14.278271069654568,0.029872161578330482,0.05832128435803828,standard,candidate_bank,high_downforce,38.23631830216349,89.00194947141199,1.18,0.01699643045407163,0.01699643045407163,2360.0,68.12872049961634,175.0,12055.179079433497,2267.810366195862,11382.377981878575,16,0.48000000000000004,True,,-68.12872049961634
15.62434051064092,14.648038980756315,0.029872161578330482,0.05832128435803828,standard,candidate_bank,high_downforce,38.23983798942762,88.82952210089722,1.18,0.01700874498389477,0.01700874498389477,2360.0,68.09861843689684,150.0,12088.18766406995,2289.923160221094,11400.47114657504,16,0.48000000000000004,True,,-68.09861843689684
15.62434051064092,14.721359549995794,0.029872161578330482,0.05832128435803828,standard,candidate_bank,high_downforce,38.24274288199814,88.7949315826899,1.18,0.017010799338525878,0.017010799338525878,2360.0,68.08459076495811,150.0,12093.430337735046,2294.1264085592643,11406.835063872899,16,0.48000000000000004,True,,-68.08459076495811
15.62434051064092,13.987207871158645,0.029872161578330482,0.05832128435803828,standard,candidate_bank,high_downforce,38.25607965947461,89.0419076752493,1.18,0.016962144247900716,0.016962144247900716,2360.0,68.08936094732671,175.0,12012.674526437766,2247.6362657377326,11328.807130321673,16,0.48000000000000004,True,,-68.08936094732671
15.62434051064092,15.194247132368426,0.029872161578330482,0.05832128435803828,standard,candidate_bank,high_downforce,38.261995612752195,88.56867241071188,1.18,0.017023512817982315,0.017023512817982315,2360.0,67.99264008152859,150.0,12126.94051963114,2321.7106227978106,11449.148154322034,17,0.48000000000000004,True,,-67.99264008152859
17.5,20.0,0.04,0.06,standard,candidate_bank,wet,47.00096378877644,80.19044312143674,1.18,0.013926017354384913,0.013926017354384913,2360.0,47.55207071080804,250.0,8798.603566334777,1896.6029474662362,8081.592995601326,22,0.56,True,,48.14155385887091
15.62434051064092,14.458158019199306,0.029872161578330482,0.05832128435803828,standard,candidate_bank,wet,47.144733218633235,83.03590996317796,1.18,0.013521735499547057,0.013521735499547057,2360.0,46.83367345482111,275.0,8246.904808910458,1546.6735055229187,7841.1409082359305,20,0.64,True,,48.31200136324365
15.62434051064092,14.278271069654568,0.029872161578330482,0.05832128435803828,standard,candidate_bank,wet,47.16210708630561,83.09137125458592,1.18,0.013505253082520343,0.013505253082520343,2360.0,46.77656752988696,275.0,8228.419961654201,1537.9670052006688,7830.88556363434,20,0.64,True,,48.32925131165203
15.62434051064092,14.648038980756315,0.029872161578330482,0.05832128435803828,standard,candidate_bank,wet,47.12664222779284,82.97661084959135,1.18,0.01353903848830058,0.01353903848830058,2360.0,46.89416851848364,275.0,8266.341023848267,1555.9620500991266,7851.824344324303,21,0.64,True,,48.29361292099816
15.62434051064092,14.721359549995794,0.029872161578330482,0.05832128435803828,standard,candidate_bank,wet,47.12363066585229,82.9498672676511,1.18,0.013543381715463177,0.013543381715463177,2360.0,46.90243732184172,275.0,8272.279614751611,1559.2797293263259,7855.424585786479,21,0.64,True,,48.28756895638023
15.62434051064092,13.987207871158645,0.029872161578330482,0.05832128435803828,standard,candidate_bank,wet,47.190483886410306,83.17949354352565,1.18,0.01348121728652637,0.01348121728652637,2360.0,46.684075221419334,275.0,8198.452130184807,1524.0878109642047,7813.998791067519,20,0.64,True,,48.357330984714174
15.62434051064092,15.194247132368426,0.029872161578330482,0.05832128435803828,standard,candidate_bank,wet,47.10970247231424,82.7687762726423,1.18,0.013568350972648517,0.013568350972648517,2360.0,46.93733183667064,275.0,8308.395023741767,1580.6493697633455,7877.308578192563,21,0.64,True,,48.27047084952545
