sample_index,distance_m,step_m,time_s,dt_s,shift_loss_s,speed_mps,exit_speed_mps,acceleration_mps2,lateral_acceleration_mps2,gear,drs,drs_zone,fuel_kg,mass_kg,tyre_wear,tyre_temperature_c,engine_force_n,available_engine_force_n,brake_force_n,rolling_force_n,front_tyre_load_n,rear_tyre_load_n,max_wheel_load_n,tyre_mu,segment_id,sector_id,radius_m,front_downforce_n,rear_downforce_n,downforce_n,drag_n,drag_longitudinal_n,front_height_m,rear_height_m,yaw_deg,roll_deg,cl_down,cd,front_aero_fraction
84,840.0,10.0,11.431919178544007,0.18911130386100353,0.0,52.88213165476918,52.87569239735603,-0.03405009262630756,29.437051035287798,2,0,0,9.58,809.58,0.006750379174785587,93.52225556369861,1811.5583433824245,7828.731313304829,0.0,251.2122970934374,7478.601953797459,9268.884519098368,6958.027917821143,1.4931090496756418,202,21,95,3689.878275132922,4643.327110728455,8333.205385861378,1587.912320277393,1587.912320277393,0.028017510371009937,0.05598792567460827,0.0,0.7277336737194744,3.2433400064460924,0.6180262355974507,0.44279219151293137
85,850.0,10.0,11.621030482405011,0.18913439367160345,0.0,52.87569239735603,52.869220580905676,-0.03421808336772756,29.42988259473489,2,0,0,9.575,809.575,0.006804535779742809,93.56736715898619,1811.00369156913,7829.684704435216,0.0,251.17967237358926,7477.648401326998,9267.663090245618,6956.837022281978,1.4929369451630332,202,21,95,3688.9890155836515,4642.20941597457,8331.198431558221,1587.5261240379689,1587.5261240379689,0.02801795419255148,0.05598849748385438,0.0,0.7275603931364508,3.2433486987810003,0.6180264257271291,0.44279211999199536
86,860.0,10.0,11.810164876076614,0.18914596981237916,0.0,52.869220580905676,52.869220580905676,0.0,29.422678787710108,2,0,0,9.57,809.57,0.006858683109322835,93.61231319940555,1838.2864564839845,7830.643150232498,0.0,251.14735285653322,7474.382704158373,9268.774152943844,6956.809587923153,1.492758981908515,202,21,95,3688.1076963333335,4641.104698935463,8329.212395268796,1587.1391036274513,1587.1391036274513,0.028019560763053092,0.05598791155790446,0.0,0.7273862548050681,3.24336943932203,0.6180270378964339,0.44279188971435907
87,870.0,10.0,11.999310845888994,0.18670315649926378,0.0,52.869220580905676,54.25269623617218,7.410028203095521,0.0,2,0,0,9.565,809.565,0.0069127968990867865,93.65705386248246,7830.643148620562,7830.643150232498,0.0,244.38415154251473,6771.136304887961,9521.140464613021,4760.570232306511,1.5140649543849387,203,22,0,3698.440321812047,4654.715840438935,8353.156162250982,1587.3595148390211,1587.3595148390211,0.02826572428716592,0.055732879612794814,0.0,0.0,3.2526930678245733,0.618112865337705,0.4427596288126144
88,880.0,10.0,12.186014002388257,0.2221660691140833,0.04,54.25269623617218,55.53723389332304,7.051464981364939,0.0,3,0,0,9.56,809.56,0.006963594551157502,93.6961279434108,7630.955770075325,7630.957145388318,0.0,250.9736110601709,6989.983489592265,9741.590581085795,4870.795290542897,1.5103542040140105,203,22,0,3893.116613818415,4899.385882859647,8792.502496678062,1671.3981687013545,1671.3981687013545,0.028155188804996022,0.05562100235916791,0.0,0.0,3.251383119276192,0.6180670171385116,0.44277685622373064
89,890.0,10.0,12.40818007150234,0.17813754288424874,0.0,55.53723389332304,56.735562038277514,6.7269825638783685,0.0,3,0,0,9.555,809.555,0.007015717356765936,93.737276906574,7454.456288111402,7454.458405242489,0.0,257.2380153229079,7196.946667340524,9952.254354186669,4976.1271770933345,1.506895340176637,203,22,0,4078.20838812807,5131.970092649124,9210.178480777195,1751.3559032879405,1751.3559032879405,0.028050566663101427,0.05551397407613895,0.0,0.0,3.250108466158109,0.6180224042793788,0.44279363278787764
90,900.0,10.0,12.586317614386589,0.17452994134126643,0.0,56.735562038277514,57.857956107088036,6.430954254524454,0.0,3,0,0,9.55,809.55,0.007069103460005662,93.7803909256661,7297.008204866224,7297.010642473033,0.0,263.20835777612626,7393.31906367507,10153.90478806668,5076.95239403334,1.5036568243826534,203,22,0,4254.629236695926,5353.621107545825,9608.250344241751,1827.6208303398262,1827.6208303398262,0.027951215234953773,0.05541141445149675,0.0,0.0,3.2488666535616373,0.6179789408385022,0.4428099897756865
91,910.0,10.0,12.760847555727855,0.1712756852955028,0.0,57.857956107088036,58.91285094292551,6.159046066681663,0.0,3,0,0,9.545,809.545,0.007123696249822432,93.8253692667268,7155.452512560263,7155.45497725043,0.0,268.9105343166542,7580.1563711478375,10347.212583295774,5173.606291647887,1.5006126920823541,203,22,0,4423.142436739655,5565.302043453958,9988.444480193612,1900.5170301918017,1900.5170301918017,0.027856610267362362,0.0553129936855376,0.0,0.0,3.2476557196400067,0.6179365581512452,0.4428259520799698
92,920.0,10.0,12.932123241023358,0.16832165984042644,0.0,58.91285094292551,59.907270121473154,5.907850359189547,0.0,3,0,0,9.54,809.54,0.007179443601210914,93.87211899531742,7027.326948191996,7027.329239270414,0.0,274.36651181243747,7758.335931835332,10532.764855660496,5266.382427830248,1.4977412828246903,203,22,0,4584.395415033525,5767.8299314623055,10352.22534649583,1970.319256601253,1970.319256601253,0.027766316343482082,0.05521842322725305,0.0,0.0,3.246474056955579,0.6178951999572903,0.44284154001586884
93,930.0,10.0,13.100444900863785,0.1656254279812345,0.0,59.907270121473154,60.84713482573106,5.674640154677195,0.0,3,0,0,9.535,809.535,0.007236297271399515,93.92055394588259,6910.678458121094,6910.680442633054,0.0,279.59516573565674,7928.598017599054,10711.079698111396,5355.539849055698,1.495024318260837,203,22,0,4738.944452246271,5961.906855714179,10700.851307960449,2037.2634747688348,2037.2634747688348,0.02767996628558904,0.05512744856720284,0.0,0.0,3.2453203187478397,0.6178548191200194,0.4428567705375863
