scenario_id,name,pressure_pa,temperature_k,grip,headwind_mps,crosswind_mps,aero_multiplier,density_multiplier,height_offset_m,baseline_lap_s,candidate_lap_s,delta_s,feasible,error
19,Dry,101325.0,288.15,0.9847271117877625,-0.4103279461308773,-0.9548563988082885,1.0035793573733365,1.0123211548212931,0.0005332701687709219,38.99830488572069,38.51255428445411,-0.4857506012665809,True,
20,Dry,101325.0,288.15,0.9767365737346945,-4.657190506380859,1.4014209683388898,0.9737051938773653,1.0014864485414554,-0.00019396036035779717,40.11754571849792,40.24421057909876,0.12666486060084026,True,
21,Dry,101325.0,288.15,0.9789784488571784,3.7247533975161264,0.675481337088105,0.9504469928478825,1.0023952566958356,-0.0005255067241693415,38.579236737103244,38.11060064642926,-0.46863609067398215,True,
22,Dry,101325.0,288.15,1.0337325606430714,2.4778732918917576,1.2317537588888117,1.0018657474162784,0.9840945684831331,0.0010449230251692457,38.00727395570973,37.406690758416296,-0.6005831972934317,True,
23,Dry,101325.0,288.15,0.9774149329503256,3.6788131885891335,-1.3350115333410115,1.0242394047972816,1.0131555247472523,0.0013897502031514231,38.56760175151908,37.90427489142085,-0.6633268600982305,True,
24,Dry,101325.0,288.15,0.9946201944985916,-4.727716337313991,-1.5791137052362765,1.0155861268313608,1.0005990883165978,0.0015679176801689557,39.497404870099786,39.459516890256126,-0.03788797984365999,True,
25,Dry,101325.0,288.15,1.0083037315258123,-1.2738694184238355,0.22875037113272478,1.032027062333714,0.9877758933481926,-0.001053154566286572,38.74938428309251,38.29547269587873,-0.45391158721378133,True,
26,Dry,101325.0,288.15,1.0434490743361982,0.8094056790154989,-0.19948966569315818,0.9529926985932307,1.0135655617884376,-0.0012519807800745889,38.0452706875348,37.533840194866556,-0.5114304926682465,True,
27,Dry,101325.0,288.15,0.9742976117627955,-1.0194216289837321,-1.3956183070682493,0.9568595936831445,1.0186276275624015,-0.0005299397092908586,39.2206750841789,39.21653238252078,-0.004142701658118142,True,
28,Dry,101325.0,288.15,1.0123914823948654,0.7666642292749888,1.0585065157291478,1.0167445381721887,1.0148263888326297,-0.001781138167439092,38.36232534712928,37.84752032530362,-0.5148050218256586,True,
29,Dry,101325.0,288.15,0.9989949726384026,2.837435362013795,1.8582657932473206,1.0356245420596413,1.0099511669201133,0.0013519096001990915,38.36890016214423,37.71897462982387,-0.6499255323203599,True,
30,Dry,101325.0,288.15,1.013688279283843,-1.0317821019900277,-1.164456512232471,1.0484469592680197,0.9909377784039066,0.0019752764370500686,38.60009068949399,38.097214245533024,-0.5028764439609645,True,
31,Dry,101325.0,288.15,1.0131328443998733,-2.912241602765894,-1.9491362243712627,0.9559207956654874,0.9960436883235753,0.0006709638470641364,39.05916552677651,39.04359195111834,-0.01557357565817341,True,
32,Dry,101325.0,288.15,0.9742276709429609,4.612571275863264,-0.30258608423744615,1.0384996405594171,0.9878965140295861,7.281030527921985e-05,38.417117036677006,37.85808681932861,-0.5590302173483934,True,
