track_point_id,circuit_id,point_index,distance_m,step_m,x_m,y_m,heading_rad,curvature_1pm,classification,sector_id,is_synthetic,is_derived,data_source
10100079,101,79,395.0,5.0,240.0351230875271,313.69741813250215,0.9090838633624658,5.07889649168419e-05,straight,1011,False,True,OSM-derived smoothed centreline
10100080,101,80,400.0,5.0,243.10673261900263,317.6426956272111,0.9095153486012122,0.00012180462217922912,straight,1011,False,True,OSM-derived smoothed centreline
10100081,101,81,405.0,5.0,246.17593876907,321.58984299809896,0.910301903195958,0.00019281645041623765,straight,1011,False,True,OSM-derived smoothed centreline
10100082,101,82,410.0,5.0,249.2413380446941,325.53994738544577,0.9114435030955726,0.00026382231049328975,straight,1011,False,True,OSM-derived smoothed centreline
10100083,101,83,415.0,5.0,252.3015239274331,329.494091778336,0.9129401107052573,0.0003348188763030041,straight,1011,False,True,OSM-derived smoothed centreline
10100084,101,84,420.0,5.0,255.35508579284541,333.45335346127047,0.9147916679724208,0.00040580121494689883,straight,1011,False,True,OSM-derived smoothed centreline
10100085,101,85,425.0,5.0,258.40060788803703,337.41880241790307,0.9169980481495134,0.0004767011779392298,straight,1011,False,True,OSM-derived smoothed centreline
10100086,101,86,430.0,5.0,261.43667582477264,341.3914940029512,0.9195507902541085,0.0005409671982583022,straight,1011,False,True,OSM-derived smoothed centreline
10100087,101,87,435.0,5.0,264.4621587879472,345.37225250965224,0.9222219359532344,0.00047789626475106944,straight,1011,False,True,OSM-derived smoothed centreline
10100088,101,88,440.0,5.0,267.4792582946561,349.3593702544115,0.9232043914116361,-0.0002501076392676087,straight,1011,False,True,OSM-derived smoothed centreline
10100089,101,89,445.0,5.0,270.5030752387764,353.34138947535024,0.9180518893345148,-0.001907417002001224,fast_corner,1011,False,True,OSM-derived smoothed centreline
10100090,101,90,450.0,5.0,273.56433858955535,357.29465312582005,0.9045202067560166,-0.0033151978394626645,fast_corner,1011,False,True,OSM-derived smoothed centreline
10100091,101,91,455.0,5.0,276.68775655522194,361.1989699512864,0.8877621326042097,-0.003154763796843073,fast_corner,1011,False,True,OSM-derived smoothed centreline
