drs_event_id,run_id,start_time_s,end_time_s,start_distance_m,end_distance_m,entry_speed_mps,exit_speed_mps,circuit_id,setup_id,weather_id,tyre_id,session_id,car_id,date_id,comparison_group
61,31,2.56831991969,11.4829876876,160,860,67.9504619628,85.6731532119,1,11,1,2,1,1,20260917,setup_sweep
62,31,37.5173227516,44.3836994812,2140,2610,52.3186281787,79.833617538,1,11,1,2,1,1,20260917,setup_sweep
63,32,2.70124027549,11.5331746869,160,860,67.0271997843,87.6763613043,1,11,2,2,1,1,20260917,setup_sweep
64,32,38.1939327782,45.0108891151,2140,2610,51.9788974616,81.1864403897,1,11,2,2,1,1,20260917,setup_sweep
65,33,3.12501462506,12.3153904359,160,860,62.3415484059,84.8941606695,1,11,3,2,3,1,20260917,setup_sweep
66,33,43.6757033925,50.9217553453,2140,2610,44.3343873955,78.6299494153,1,11,3,2,3,1,20260917,setup_sweep
67,34,2.56592145022,11.8096755257,160,860,66.8732197963,80.728143769,1,12,1,2,1,1,20260917,setup_sweep
68,34,37.9834466632,45.0304441316,2140,2610,51.8264450282,76.4908978042,1,12,1,2,1,1,20260917,setup_sweep
69,35,2.70478557364,11.8685878362,160,860,66.0044087021,82.9856664878,1,12,2,2,1,1,20260917,setup_sweep
70,35,38.6734102358,45.6496435672,2140,2610,51.5722343369,78.0895911982,1,12,2,2,1,1,20260917,setup_sweep
71,36,3.09362669001,11.9792044396,160,810,61.3037604859,79.7797174822,1,12,3,2,3,1,20260917,setup_sweep
72,36,44.0123093249,51.4201054392,2140,2610,44.0804349682,75.5372218474,1,12,3,2,3,1,20260917,setup_sweep
73,37,1.25472149935,5.90720357446,100,480,79.9445410656,84.1748677048,2,1,1,2,1,1,20260917,setup_sweep
74,37,28.8157228454,34.5064850585,1650,2020,50.8686907215,75.8393971942,2,1,1,2,1,1,20260917,setup_sweep
75,38,1.29797590896,6.19884906888,100,500,78.0581531272,85.4102146558,2,1,2,2,1,1,20260917,setup_sweep
76,38,29.6678618986,35.3284793502,1650,2020,50.4296861873,76.9647278766,2,1,2,2,1,1,20260917,setup_sweep
77,39,1.66634446537,7.54963290785,100,530,64.0030245838,79.9702110158,2,1,3,2,3,1,20260917,setup_sweep
78,39,35.230537604,41.3462048512,1650,2020,42.5937534194,74.2921651434,2,1,3,2,3,1,20260917,setup_sweep
79,40,1.26520010986,6.43696969138,100,520,79.2610352106,83.656428189,2,2,1,2,1,1,20260917,setup_sweep
80,40,29.0270567834,34.739546393,1650,2020,50.6599079855,75.4647662311,2,2,1,2,1,1,20260917,setup_sweep
81,41,1.29594151543,6.21186844649,100,500,78.062069777,84.9425206527,2,2,2,2,1,1,20260917,setup_sweep
82,41,29.8584406348,35.5416901456,1650,2020,50.1589855167,76.608307217,2,2,2,2,1,1,20260917,setup_sweep
83,42,1.67876331651,7.5975002307,100,530,63.5928299957,79.4319213893,2,2,3,2,3,1,20260917,setup_sweep
84,42,35.5362103699,41.7134689611,1650,2020,41.9597910059,73.807998719,2,2,3,2,3,1,20260917,setup_sweep
85,43,1.31073222061,6.50958660582,100,510,76.4288813766,80.5119948088,2,3,1,2,1,1,20260917,setup_sweep
86,43,29.7812428081,35.569396425,1650,2020,50.3415081363,73.9026038518,2,3,1,2,1,1,20260917,setup_sweep
87,44,1.40345854503,6.42780347222,100,490,72.6786497107,81.0975073565,2,3,2,2,1,1,20260917,setup_sweep
88,44,30.6496549282,36.3961674807,1650,2020,49.9752452424,75.1870348349,2,3,2,2,1,1,20260917,setup_sweep
89,45,1.78861359615,7.87840236071,100,530,61.494610757,77.0863111165,2,3,3,2,3,1,20260917,setup_sweep
90,45,36.1647583342,42.3615606245,1650,2020,42.3072136699,72.573015029,2,3,3,2,3,1,20260917,setup_sweep
91,46,1.24772392478,6.16890267237,100,510,80.7085412817,86.418234275,2,4,1,2,1,1,20260917,setup_sweep
92,46,29.1251065372,34.7689250054,1650,2020,50.8767340768,77.0167207201,2,4,1,2,1,1,20260917,setup_sweep
93,47,1.37204754152,6.69192365838,100,530,74.8558599683,86.2646561893,2,4,2,2,1,1,20260917,setup_sweep
94,47,30.1732253282,35.7936666528,1650,2020,50.3997505161,78.035410893,2,4,2,2,1,1,20260917,setup_sweep
95,48,1.75748310033,7.62085862224,100,530,62.9864302896,81.2430200411,2,4,3,2,3,1,20260917,setup_sweep
96,48,35.7742397734,41.8581177482,1650,2020,42.4411977189,75.3210515222,2,4,3,2,3,1,20260917,setup_sweep
97,49,1.31956871106,6.805498134,100,530,75.9035924338,80.0170833145,2,5,1,2,1,1,20260917,setup_sweep
98,49,29.0227814655,34.8157595296,1650,2020,50.5813095975,73.61453364,2,5,1,2,1,1,20260917,setup_sweep
