scenario_id,name,pressure_pa,temperature_k,grip,headwind_mps,crosswind_mps,aero_multiplier,density_multiplier,height_offset_m,baseline_lap_s,candidate_lap_s,delta_s,feasible,error,circuit_id
68,Dry,101325,288.15,0.995721826649,-3.75802797898,1.83312036174,0.960827306728,0.998640303931,0.00186598981092,39.6225897241,39.6454758188,0.0228860946672,True,,2
69,Dry,101325,288.15,1.04422886732,-1.33359975952,-1.99690564535,1.02706723302,1.00773640551,-0.00126984552257,38.2185312666,37.7112610715,-0.507270195079,True,,2
70,Dry,101325,288.15,0.978327179612,-3.04526098208,-0.718792902786,1.033300136,1.00616318302,0.00138822651836,39.3603400355,39.1522222047,-0.208117830873,True,,2
71,Dry,101325,288.15,1.02118562204,-1.01092021909,0.405325641763,1.02226054443,0.992005616318,0.00194622483974,38.566663444,38.0247385148,-0.54192492921,True,,2
72,Dry,101325,288.15,1.02607586796,-2.11380260123,0.519276294271,1.00877509275,1.00617933957,-0.00101452576373,38.6322539376,38.1836236347,-0.44863030287,True,,2
73,Dry,101325,288.15,1.01741165325,3.26381416858,-1.19304023511,1.02236241221,1.01983746102,0.00178226738397,38.0889629218,37.4210847396,-0.667878182277,True,,2
74,Dry,101325,288.15,1.03089430425,3.56224422388,1.36354447948,0.965395118113,0.98287282653,0.000351373652632,37.9647798575,37.3837727701,-0.581007087373,True,,2
75,Dry,101325,288.15,1.01153229157,-0.83374147065,-0.183410317569,1.02292538516,0.98020983909,-0.00188901627788,38.6313073514,38.2659136753,-0.365393676064,True,,2
76,Dry,101325,288.15,0.994277812522,-2.82833615679,1.35677705379,1.0338232414,1.01319576348,-0.000538153330113,39.1201734273,38.8506549449,-0.269518482465,True,,2
77,Dry,101325,288.15,1.0092223535,-2.61294957463,-1.74453136057,0.966344923243,1.00323763245,0.00114802999899,38.9746395501,38.8949429435,-0.0796966065669,True,,2
78,Dry,101325,288.15,1.02338789766,4.17224882902,0.166898378455,1.01078653587,0.988166783612,0.00154542223079,37.9560717246,37.3023519676,-0.653719757002,True,,2
79,Dry,101325,288.15,1.01855933795,2.29519758474,0.615421422754,1.02138411651,1.00131573497,0.000174516365902,38.1545670016,37.5617394027,-0.592827598875,True,,2
80,Dry,101325,288.15,1.02029226849,3.68762464947,-0.994255170647,1.04403732381,1.00177873444,-0.00195378801179,37.9466174313,37.3773055853,-0.569311845971,True,,2
81,Dry,101325,288.15,0.962891597116,-4.72177854852,1.74565910305,1.01625027678,0.999800415133,0.00133533333797,40.2123319408,40.1835929314,-0.0287390093853,True,,2
82,Dry,101325,288.15,0.95627567942,3.71147898252,-1.80059224189,0.999986685966,0.986994601423,-0.000573053530051,38.8699041549,38.3813634709,-0.488540684034,True,,2
83,Dry,101325,288.15,1.02699445784,-1.30748410646,1.22440472777,1.03143396336,0.993693190361,-0.000244279241506,38.4377403447,37.9956286135,-0.442111731193,True,,2
84,Dry,101325,288.15,0.966059991732,2.98324149135,0.914335041992,1.03293652527,1.00696020662,-0.000559307319388,38.7466557062,38.1565837323,-0.590071973922,True,,2
85,Dry,101325,288.15,0.965653264777,-4.7450533058,-0.549111608014,1.01995034013,1.00584464511,-0.00014099389363,40.0248130099,40.07889311,0.0540801000925,True,,2
86,Dry,101325,288.15,0.979609866139,1.52595341367,0.00486021833887,1.03417947057,1.00258220009,0.000637135887966,38.7322202443,38.2223439815,-0.509876262824,True,,2
87,Dry,101325,288.15,0.986046160658,3.69376208994,0.365286471363,1.00036341354,1.0134901693,-0.00144003501987,38.4212790875,37.8092806543,-0.611998433255,True,,2
88,Dry,101325,288.15,1.04005477123,-4.53828313601,0.640662226746,1.02309814053,1.01375816679,0.00174948300769,38.7285627274,38.2904218911,-0.438140836256,True,,2
89,Dry,101325,288.15,1.04845878476,4.03303039123,1.14693744608,1.04730680357,1.00087235013,0.000379489689112,37.4982233502,36.9327007332,-0.56552261692,True,,2
90,Dry,101325,288.15,0.967924994015,2.40086158869,-1.2757787315,0.954453898799,0.997554244685,-0.00152294581409,38.9443938549,38.6753375998,-0.269056255143,True,,2
91,Dry,101325,288.15,0.989934211567,-3.8781701424,-0.143815748978,1.02031039625,1.00521277606,-8.58867495503e-05,39.2802101774,39.2780457457,-0.00216443168552,True,,2
92,Dry,101325,288.15,1.04260024781,1.57443232097,1.73235644205,0.980832376455,0.99597002982,0.000271243802986,37.9927867732,37.4359149785,-0.556871794736,True,,2
93,Dry,101325,288.15,0.973041192494,0.7287633086,-0.229445802676,1.04305016132,0.988940135296,0.00195438514643,38.9826628134,38.4204723267,-0.562190486675,True,,2
94,Dry,101325,288.15,0.98441310169,-0.981485301298,-1.1127619899,1.04752603549,0.999834588959,0.00130271984729,39.0440524619,38.477027309,-0.567025152859,True,,2
95,Dry,101325,288.15,0.9960779905,2.19911863867,-1.97571284781,1.00193705388,1.01980631683,0.000600783511928,38.4809080768,37.8798445436,-0.601063533186,True,,2
96,Dry,101325,288.15,0.973522305887,-0.321484242695,1.74771594942,0.998779261194,0.999985932232,-0.000942857566262,39.1389384855,38.8978276687,-0.241110816761,True,,2
97,Dry,101325,288.15,1.00492432033,-3.24674377315,-1.32524752357,0.952601406599,1.0127833906,-0.000837332650742,39.1790602546,39.2525307192,0.0734704645846,True,,2
98,Dry,101325,288.15,0.966713440905,-3.97631046174,1.12905717232,0.993557055538,0.996787814991,-0.000827751747437,40.0284884558,40.1080053908,0.0795169350269,True,,2
99,Dry,101325,288.15,1.01476166752,-2.55704696317,-0.719337347415,1.01514036629,1.01196219047,0.00187566251195,38.8736494271,38.3424104336,-0.531238993562,True,,2
100,Dry,101325,288.15,1.03460639331,3.13042621331,-0.459876403575,0.968396402061,0.983721381973,-0.000707453953058,37.9328811878,37.3859829498,-0.546898238005,True,,2
101,Dry,101325,288.15,0.979860931184,4.89552848758,-1.12486534848,1.02580491732,1.01732586835,-0.00109367209674,38.2934210559,37.7487403126,-0.544680743299,True,,2
