optimization_result_id,optimization_run_id,front_wing_deg,rear_wing_deg,front_height_m,rear_height_m,package,method,objective,lap_time_s,top_speed_mps,fuel_used_kg,tyre_wear_end,tyre_wear_delta,distance_m,high_speed_corner_mps,braking_distance_m,mean_downforce_n,mean_drag_n,max_tyre_load_n,solver_iterations,shift_loss_s,feasible,constraint_reasons,objective_value,pareto,circuit_id,objective_run,seed
36,1,21.25,15,0.0325,0.05125,standard,grid,qualifying,49.4222750276,85.0278502255,1.47,0.0199345830271,0.0199345830271,2940,56.8364008446,225,11551.3447822,2407.42393619,8111.36831439,16,0.56,True,,49.4222750276,False,1,qualifying,42
37,1,17.5,20,0.04,0.06,standard,baseline,qualifying,49.424055914,83.9667611588,1.47,0.0201444524211,0.0201444524211,2940,57.6153941243,225,11809.7986079,2536.86605889,8622.06467848,16,0.56,True,,49.424055914,False,1,qualifying,42
38,1,13.75,15,0.0475,0.05125,standard,grid,qualifying,49.4245856903,88.3291675774,1.47,0.0191405884175,0.0191405884175,2940,54.6646265779,275,10611.0767431,2023.59952787,8455.02738215,17,0.64,True,,49.4245856903,True,1,qualifying,42
39,1,20.5551062328,13.3850907222,0.0366243883415,0.0483528714592,standard,differential_evolution,qualifying,49.4535605932,86.0678611596,1.47,0.0197999309867,0.0197999309867,2940,55.9074332519,250,11328.8507972,2274.79592017,8099.49553168,16,0.56,True,,49.4535605932,False,1,qualifying,42
40,1,20.0260444269,19.4219241229,0.0419570831944,0.0744249485837,standard,random,qualifying,49.4928508513,83.3620289913,1.47,0.0198718564593,0.0198718564593,2940,58.2489948021,200,11624.3812635,2613.46513418,8349.82044006,16,0.56,True,,49.4928508513,False,1,qualifying,42
41,1,18.7230754086,16.4243673258,0.0462094582677,0.04524862041,standard,differential_evolution,qualifying,49.5070449747,85.6359582437,1.47,0.0193536477664,0.0193536477664,2940,56.1467165174,250,10989.4042767,2326.2822107,8146.33094326,16,0.56,True,,49.5070449747,False,1,qualifying,42
42,1,13.75,15,0.0475,0.07375,standard,grid,qualifying,49.5202368232,88.3437554176,1.47,0.0189895429969,0.0189895429969,2940,54.3523678044,275,10463.8372627,2013.21707244,8470.7790692,17,0.64,True,,49.5202368232,True,1,qualifying,42
43,1,19.5207748,21.0715880132,0.0417762148224,0.0536777544128,standard,random,qualifying,49.5295319421,82.5438662249,1.47,0.0200733325436,0.0200733325436,2940,58.4503484261,200,11881.5588928,2712.30658088,8421.15158537,16,0.56,True,,49.5295319421,False,1,qualifying,42
44,1,19.4894108452,14.0154238883,0.0438144784771,0.0706824636308,standard,differential_evolution,qualifying,49.5348171057,86.3128661516,1.47,0.0196329587083,0.0196329587083,2940,55.5821990827,250,11135.4001421,2235.99658227,8254.5987691,16,0.56,True,,49.5348171057,False,1,qualifying,42
45,1,21.25,15,0.0325,0.07375,standard,grid,qualifying,49.5458481359,85.0339629664,1.47,0.0197794688473,0.0197794688473,2940,56.4373907726,225,11393.4058759,2393.47239116,8132.14583764,16,0.56,True,,49.5458481359,False,1,qualifying,42
46,1,21.7625408869,23.1189711376,0.0392641465973,0.0665504288886,standard,differential_evolution,qualifying,49.6184381764,80.3151924423,1.47,0.020278214509,0.020278214509,2940,60.0150630716,200,12234.8633868,2995.73048045,8351.8335028,16,0.48,True,,49.6184381764,False,1,qualifying,42
47,1,11.94882258,19.5140985245,0.0318072804715,0.0701416297607,standard,random,qualifying,49.6589699175,86.1533538474,1.47,0.0195415908144,0.0195415908144,2940,54.7221374721,250,11093.8871874,2242.16146588,8829.93392958,17,0.56,True,,49.6589699175,False,1,qualifying,42
48,1,22.801046099,14.6787897173,0.0267490822507,0.052662275141,standard,random,qualifying,49.6711676583,84.458731822,1.47,0.0195316480518,0.0195316480518,2940,56.1558496812,225,11260.8532941,2455.5258701,7920.87012744,16,0.56,True,,49.6711676583,False,1,qualifying,42
49,1,10.4622675185,18.7343477846,0.0314375401846,0.0583837889676,standard,random,qualifying,49.6727243167,87.02170531,1.47,0.0195305766439,0.0195305766439,2940,54.3063969212,275,11037.2089017,2148.29084398,8883.70140416,17,0.64,True,,49.6727243167,False,1,qualifying,42
50,1,20.2374325596,12.7950496722,0.0309972460743,0.0403313021388,standard,random,qualifying,49.6857626787,86.611359903,1.47,0.0191571120399,0.0191571120399,2940,54.7922277451,250,10778.9530276,2202.92820045,7794.54997073,16,0.64,True,,49.6857626787,False,1,qualifying,42
51,1,21.6757524561,13.892774157,0.0390016301118,0.0419711694604,standard,random,qualifying,49.68576767,85.3398211495,1.47,0.0194721321099,0.0194721321099,2940,55.4807316302,225,11100.7365971,2340.98219924,7891.92553577,16,0.56,True,,49.68576767,False,1,qualifying,42
52,1,16.8837366331,21.3748239191,0.0291939099438,0.0451538533091,standard,random,qualifying,49.6870510463,83.4975246215,1.47,0.0194779224453,0.0194779224453,2940,56.6257745307,225,11310.4743933,2574.6090616,8316.68169494,16,0.56,True,,49.6870510463,False,1,qualifying,42
53,1,23.2079617207,14.448589417,0.0305980736461,0.0687156704506,standard,differential_evolution,qualifying,49.6876372129,84.2436496891,1.47,0.0198317957651,0.0198317957651,2940,56.4041346358,225,11498.5350967,2475.97840932,8129.1360144,16,0.56,True,,49.6876372129,False,1,qualifying,42
54,1,19.9647031049,18.1277372288,0.04942061154,0.0475137813958,standard,random,qualifying,49.693899089,84.2064373134,1.47,0.019230652123,0.019230652123,2940,56.5431875153,225,10993.5709132,2485.17817798,8043.41369246,16,0.56,True,,49.693899089,False,1,qualifying,42
55,1,16.5322796334,22.360679775,0.0351689561244,0.060726211297,standard,local,qualifying,49.6956688557,82.8160377652,1.47,0.0200844476609,0.0200844476609,2940,57.3132048524,200,11850.5668879,2654.63470574,8673.60278824,16,0.56,True,,49.6956688557,False,1,qualifying,42
56,1,12.4190766855,20.0208955021,0.0295693630814,0.0713344168785,standard,random,qualifying,49.7226353781,85.7381096117,1.47,0.0194205836733,0.0194205836733,2940,54.7524409997,250,11030.9322234,2287.57796216,8736.5693691,17,0.56,True,,49.7226353781,False,1,qualifying,42
57,1,21.25,15,0.0475,0.05125,standard,grid,qualifying,49.7438464587,85.055830022,1.47,0.0194331298991,0.0194331298991,2940,55.5954397726,225,11065.9158495,2368.54967383,8005.60266506,16,0.56,True,,49.7438464587,False,1,qualifying,42
58,1,21.25,15,0.0475,0.07375,standard,grid,qualifying,49.8558192921,85.0711610401,1.47,0.0192681294485,0.0192681294485,2940,55.1990778651,225,10905.2805264,2355.46109895,8006.15239783,16,0.56,True,,49.8558192921,False,1,qualifying,42
59,1,21.25,25,0.0325,0.05125,standard,grid,qualifying,49.8640536625,79.3724388512,1.47,0.0200364040743,0.0200364040743,2940,59.5927070198,200,12121.2068173,3100.41313477,8238.83097982,16,0.48,True,,49.8640536625,False,1,qualifying,42
60,1,16.0525656102,21.1861069216,0.034922771216,0.0831908687313,standard,differential_evolution,qualifying,49.8770388711,83.9079093068,1.47,0.0192377399306,0.0192377399306,2940,55.6745529687,225,11014.8968932,2499.84021224,8436.27477677,16,0.56,True,,49.8770388711,False,1,qualifying,42
61,1,21.8038656625,23.2970171318,0.0461549613588,0.075132806396,standard,random,qualifying,49.9232749148,80.2980670694,1.47,0.0195601394208,0.0195601394208,2940,58.7132890173,200,11591.4874726,2963.21416531,8126.59205079,16,0.48,True,,49.9232749148,False,1,qualifying,42
62,1,23.0682802577,18.4814699517,0.0493179711771,0.0647736175416,standard,differential_evolution,qualifying,49.9261867489,82.4503116589,1.47,0.0195069910717,0.0195069910717,2940,57.1587468591,200,11349.142044,2681.4213901,7985.35968283,16,0.56,True,,49.9261867489,False,1,qualifying,42
63,1,21.6093407283,18.777568795,0.0507579375973,0.0713815613077,standard,random,qualifying,49.9272292645,83.0743122003,1.47,0.0191800505478,0.0191800505478,2940,56.6157139651,200,11018.698537,2602.98359133,7981.3237486,16,0.56,True,,49.9272292645,False,1,qualifying,42
64,1,21.25,25,0.0325,0.07375,standard,grid,qualifying,49.9477905764,79.3837208376,1.47,0.0199196952197,0.0199196952197,2940,59.3636132288,200,11999.7155981,3088.64830027,8260.59941813,16,0.48,True,,49.9477905764,False,1,qualifying,42
65,1,18.3187718052,11.2763451221,0.0498289351598,0.0684248979605,standard,random,qualifying,49.9509064599,88.0681001645,1.47,0.0188685196139,0.0188685196139,2940,53.3116378658,275,10335.1098215,2010.83579328,7990.64394032,16,0.72,True,,49.9509064599,True,1,qualifying,42
66,1,11.9217044901,19.0077187579,0.036123940727,0.0817044244982,standard,random,qualifying,49.9737671686,86.571020576,1.47,0.0190310359404,0.0190310359404,2940,53.8751117745,275,10625.2954193,2182.7335873,8677.01710539,17,0.72,True,,49.9737671686,False,1,qualifying,42
67,1,22.4838970209,26.0952871499,0.0366243513709,0.0529747646769,standard,random,qualifying,49.9860522494,78.1303759783,1.47,0.020180989519,0.020180989519,2940,60.5129089765,150,12337.4373979,3266.26551963,8486.72051067,16,0.48,True,,49.9860522494,False,1,qualifying,42
68,1,11.8090229439,18.5191523961,0.0493179711771,0.0647736175416,standard,differential_evolution,qualifying,50.0005765515,86.9073869206,1.47,0.0189088663539,0.0189088663539,2940,53.5493992176,275,10480.0865588,2139.26534685,8631.2746705,17,0.72,True,,50.0005765515,False,1,qualifying,42
69,1,16.7995902036,23.9205959335,0.0306971144183,0.0724001913096,standard,differential_evolution,qualifying,50.0044171755,81.7594286151,1.47,0.0196814277819,0.0196814277819,2940,56.9182155561,200,11589.8210709,2763.00748147,8518.63383225,16,0.56,True,,50.0044171755,False,1,qualifying,42
70,1,11.047627279,21.8166652114,0.0259150074982,0.0645035335361,standard,differential_evolution,qualifying,50.0415377842,84.9575697699,1.47,0.0191289060747,0.0191289060747,2940,54.0853771521,225,10845.019062,2356.64353422,8673.5105697,16,0.6,True,,50.0415377842,False,1,qualifying,42
71,1,12.4385453235,18.8080630159,0.0513348011667,0.048953325184,standard,differential_evolution,qualifying,50.0903097202,86.655671623,1.47,0.0185489726471,0.0185489726471,2940,53.3337132912,275,10212.2277535,2164.36876733,8379.69069025,16,0.72,True,,50.0903097202,True,1,qualifying,42
72,1,17.1178886583,25.2310680694,0.0431579369247,0.0601670990979,standard,differential_evolution,qualifying,50.1031041012,80.7031275519,1.47,0.0197820385827,0.0197820385827,2940,57.1748262015,200,11723.2271292,2878.12139577,8548.79877375,16,0.48,True,,50.1031041012,False,1,qualifying,42
73,1,10.3511313614,21.3720901425,0.0287885959268,0.0724001913096,standard,differential_evolution,qualifying,50.1032292489,85.3887559383,1.47,0.0191369009209,0.0191369009209,2940,53.7343938276,250,10795.9944181,2300.28460801,8790.0481293,17,0.64,True,,50.1032292489,False,1,qualifying,42
74,1,21.25,25,0.0475,0.05125,standard,grid,qualifying,50.1112780113,79.4292066966,1.47,0.0195344052516,0.0195344052516,2940,58.5626819264,200,11643.7062923,3060.92648155,8116.43936929,16,0.48,True,,50.1112780113,False,1,qualifying,42
75,1,17.1178886583,25.2310680694,0.0323806023501,0.0431116940153,standard,differential_evolution,qualifying,50.1157743468,80.8131355444,1.47,0.0194249172442,0.0194249172442,2940,56.7983667576,200,11444.4115976,2867.25602313,8313.60080857,16,0.48,True,,50.1157743468,False,1,qualifying,42
76,1,14.4039063665,23.2383302945,0.0417109645702,0.0752754194098,standard,random,qualifying,50.1314528907,82.9904329472,1.47,0.0193986115766,0.0193986115766,2940,55.3208119026,225,11193.1596752,2584.09667584,8655.61557289,16,0.56,True,,50.1314528907,False,1,qualifying,42
77,1,19.6579768012,26.4552322654,0.0383024259648,0.0502257424803,standard,random,qualifying,50.1465757683,78.9924620781,1.47,0.0198963064013,0.0198963064013,2940,58.6872735946,200,11999.0326293,3116.08269906,8339.46240826,16,0.48,True,,50.1465757683,False,1,qualifying,42
78,1,21.25,25,0.0475,0.07375,standard,grid,qualifying,50.1892476728,79.4456586766,1.47,0.0194062110025,0.0194062110025,2940,58.3052585437,200,11516.3546651,3049.51979991,8122.45065346,16,0.48,True,,50.1892476728,False,1,qualifying,42
79,1,13.75,25,0.0325,0.05125,standard,grid,qualifying,50.2019695027,81.935179312,1.47,0.0195583562228,0.0195583562228,2940,55.7042343356,200,11455.0725182,2715.19440673,8644.97687243,16,0.56,True,,50.2019695027,False,1,qualifying,42
80,1,18.3223815333,26.8376065888,0.0359226794017,0.0518341127275,standard,differential_evolution,qualifying,50.2099624911,79.1919854186,1.47,0.0198692172552,0.0198692172552,2940,58.1177336629,200,11953.0404424,3078.46097547,8427.76633991,16,0.48,True,,50.2099624911,False,1,qualifying,42
81,1,13.75,25,0.0325,0.07375,standard,grid,qualifying,50.293797792,81.9414557302,1.47,0.0194491288586,0.0194491288586,2940,55.435883149,200,11338.0090781,2704.08670643,8680.70922901,16,0.56,True,,50.293797792,False,1,qualifying,42
82,1,21.3713161013,17.0905193626,0.0541209407318,0.0801904504595,standard,random,qualifying,50.3300305455,84.2111376146,1.47,0.0183165314422,0.0183165314422,2940,54.2391651194,225,10159.1652806,2428.32937225,7645.94785247,16,0.64,True,,50.3300305455,True,1,qualifying,42
83,1,16.5572787831,26.6535639212,0.0460079530601,0.0540564988622,standard,random,qualifying,50.4309172459,79.9528498422,1.47,0.0193730153718,0.0193730153718,2940,56.4142596116,200,11420.2111686,2944.33094181,8424.12215771,16,0.48,True,,50.4309172459,False,1,qualifying,42
